scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
DialogsImpro,AV,page3,3,bar2,2,12,4,80,4,24,22534,750,23284,49,2,51,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,49
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,26,24034,750,24784,53,2,55,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,53
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,27,24784,750,25534,55,2,57,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,55
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,28,25534,750,26284,57,2,59,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,57
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,29,26284,750,27034,59,2,61,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,59
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,30,27034,750,27784,61,2,63,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,61
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,31,27784,750,28534,63,2,65,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,63
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,32,28534,750,29284,65,2,67,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,65
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,33,29284,750,30034,67,2,69,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,67
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,34,30034,750,30784,69,2,71,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,69
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,35,30784,750,31534,71,2,73,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,71
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,36,31534,750,32284,73,2,75,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsImpro_AV_page3,73
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,web:beat=10:webScore.setAction('play'| 'AUDIO'| ['player']| {'index': 5});,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,web:beat=6:webScore.setAction('play'| 'AUDIO'| ['player']| {'index': 5});,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,max:beat=-1:reset=only:preset|2,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,max:beat=-1:reset=only:setFile|b1|DialogsImpro_b3.wav,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,max:beat=8:setFile|b2|DialogsImpro_b4.wav,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,max:beat=6:stop|b2,51
DialogsImpro,AV,page3,3,bar3,3,12,4,80,4,25,23284,750,24034,51,2,53,68,123,100,100,0,max:beat=1:play|b1,51
